Wesley Matthews,normal,18622513.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Joakim Noah,normal,18530000.0,normal,19295000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Goran Dragic,normal,18109175.0,player_option,19217900.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Kent Bazemore,normal,18089888.0,player_option,19269663.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Luol Deng,normal,18000000.0,normal,18810000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Evan Turner,normal,17868853.0,normal,18606556.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Tristan Thompson,normal,17469565.0,normal,18539130.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Draymond Green,normal,17469565.0,normal,18539130.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Tim Hardaway Jr,normal,17325000.0,normal,18150000.0,player_option,18975000.0,normal,0.0,normal,0.0,normal,0.0
Reggie Jackson,normal,17043478.0,normal,18086956.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Bismack Biyombo,normal,17000000.0,player_option,17000000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Evan Fournier,normal,17000000.0,normal,17000000.0,normal,17000000.0,normal,0.0,normal,0.0,normal,0.0
Pau Gasol,normal,16800000.0,normal,16000000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Jonas Valanciunas,normal,16539326.0,player_option,17617976.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Gary Harris,normal,16517857.0,normal,17839286.0,normal,19160714.0,normal,20482143.0,normal,0.0,normal,0.0
Andre Iguodala,normal,16000000.0,normal,17185185.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Timofey Mozgov,normal,16000000.0,normal,16720000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Ian Mahinmi,normal,16000000.0,normal,16000000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Dennis Schroeder,normal,15500000.0,normal,15500000.0,normal,15500000.0,normal,0.0,normal,0.0,normal,0.0
DeMarre Carroll,normal,15400000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Gorgui Dieng,normal,15170787.0,normal,16229213.0,normal,17287640.0,normal,0.0,normal,0.0,normal,0.0
Eric Bledsoe,normal,15000000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Tobias Harris,normal,14800000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Ricky Rubio,normal,14800000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
