Quincy Acy,1.3,0.5,0.7
Steven Adams,2.9,0.9,1.9
Jeff Adrien,1.8,1.2,0.6
Arron Afflalo,5.3,4.3,1.0
Alexis Ajinca,2.1,1.2,0.9
Cole Aldrich,1.2,0.6,0.6
LaMarcus Aldridge,7.5,4.0,3.5
Lavoy Allen,1.1,0.4,0.7
Ray All,4.1,2.5,1.5
Tony Allen,2.7,0.5,2.1
Al-Farouq Aminu,3.1,1.3,1.8
Lou Amundson,0.1,-0.1,0.2
Chris Andersen,6.0,3.8,2.2
Alan Anderson,1.7,0.8,0.9
James Anderson,1.9,0.9,0.9
Ryan Anderson,2.3,2.2,0.1
Giannis Antetokounmpo,1.2,0.1,1.1
Carmelo Anthony,10.7,8.1,2.5
Joel Anthony,0.1,0.0,0.1
Pero Antic,1.4,0.5,0.9
Trevor Ariza,8.0,4.3,3.7
Hilton Armstrong,0.3,0.1,0.2
Darrell Arthur,0.7,-0.5,1.2
Omer Asik,2.4,1.0,1.5
D.J. Augustin,6.4,4.0,2.4
Gustavo Ayon,0.7,0.0,0.7
Jeff Ayres,2.4,1.0,1.4
Chris Babb,0.0,-0.1,0.1
Luke Babbitt,0.7,0.5,0.2
Leandro Barbosa,0.4,0.2,0.2
J.J. Barea,0.7,-0.1,0.9
Andrea Bargnani,1.5,0.8,0.7
Harrison Barnes,3.2,0.4,2.8
Matt Barnes,3.5,1.5,2.0
Will Barton,0.6,0.3,0.4
Brandon Bass,5.1,3.2,1.9
Shane Battier,2.4,1.0,1.4
Nicolas Batum,7.9,4.8,3.1
Jerryd Bayless,1.4,0.7,0.7
Aron Baynes,0.6,-0.1,0.6
Kent Bazemore,0.4,0.0,0.4
Bradley Beal,4.0,1.6,2.4
Michael Beasley,1.6,0.5,1.1
Marco Belinelli,5.9,3.5,2.4
Anthony Bennett,-0.4,-1.1,0.7
Patrick Beverley,4.2,2.7,1.6
Andris Biedrins,0.0,-0.1,0.0
Chauncey Billups,-0.3,-0.3,0.1
Bismack Biyombo,3.2,1.1,2.1
DeJuan Blair,3.4,1.8,1.5
Steve Blake,1.1,0.3,0.7
Andray Blatche,3.7,1.6,2.1
Eric Bledsoe,4.1,2.6,1.6
Vander Blue,-0.1,-0.1,0.0
Keith Bogans,0.1,0.1,0.0
Andrew Bogut,6.5,2.4,4.0
Matt Bonner,1.8,0.8,1.0
Trevor Booker,4.3,2.3,2.0
Carlos Boozer,3.4,-0.9,4.3
Chris Bosh,8.0,4.6,3.4
Avery Bradley,1.8,0.4,1.4
Elton Brand,3.6,1.4,2.1
Corey Brewer,5.2,2.4,2.7
Ronnie Brewer,0.0,-0.1,0.1
Ronnie Brewer,0.0,0.0,0.0
Aaron Brooks,1.1,0.6,0.5
MarShon Brooks,0.3,0.2,0.1
Lorenzo Brown,-0.3,-0.5,0.2
Shannon Brown,0.0,-0.2,0.2
Kobe Bryant,-0.4,-0.5,0.1
Chase Budinger,0.9,0.3,0.6
Reggie Bullock,0.2,-0.2,0.3
Trey Burke,0.9,1.0,0.0
Alec Burks,3.2,2.6,0.6
Caron Butler,1.6,0.9,0.7
Jimmy Butler,7.1,2.4,4.6
Rasual Butler,1.1,0.5,0.6
Dwight Buycks,0.0,-0.2,0.2
Andrew Bynum,0.4,-0.2,0.5
Will Bynum,1.0,0.6,0.4
Nick Calathes,1.5,-0.1,1.6
Jose Calderon,6.3,5.4,0.8
Kentavious Caldwell-Pope,1.8,1.0,0.8
Isaiah Canaan,0.2,0.0,0.2
DeMarre Carroll,5.8,3.2,2.6
Vince Carter,4.3,3.0,1.3
Michael Carter-Williams,1.3,-0.8,2.1
Omri Casspi,2.4,1.0,1.4
Mario Chalmers,4.8,2.4,2.5
Tyson Chandler,4.9,3.1,1.9
Wilson Chandler,3.1,1.8,1.2
Josh Childress,0.0,0.0,0.0
Dionte Christmas,0.3,0.2,0.1
Earl Clark,0.2,-0.5,0.7
Ian Clark,-0.1,-0.2,0.1
Victor Claver,0.2,0.0,0.2
Norris Cole,1.2,-0.5,1.7
Jason Collins,0.1,-0.1,0.1
Darren Collison,5.9,3.8,2.0
Nick Collison,3.6,2.0,1.6
Mike Conley,8.2,5.5,2.7
Chris Copeland,1.0,0.6,0.4
DeMarcus Cousins,7.9,4.1,3.8
Robert Covington,0.1,0.1,0.0
Allen Crabbe,0.1,0.0,0.1
Jamal Crawford,5.3,3.8,1.5
Jordan Crawford,2.4,1.7,0.7
Jae Crowder,2.3,1.2,1.1
Dante Cunningham,2.9,0.9,2.0
Jared Cunningham,0.2,0.1,0.0
