Quincy Acy,2.5,1.8,0.7
Jordan Adams,0.0,0.0,0.0
Steven Adams,6.5,4.2,2.3
Arron Afflalo,2.7,1.8,0.9
Alexis Ajinca,1.0,0.2,0.9
Cole Aldrich,3.5,1.4,2.0
LaMarcus Aldridge,10.1,5.6,4.5
Cliff Alexander,0.0,0.0,0.0
Lavoy Allen,3.7,1.6,2.1
Tony Allen,2.4,0.5,1.9
Al-Farouq Aminu,4.0,1.7,2.3
Lou Amundson,-0.1,-0.3,0.2
Chris Andersen,1.1,0.7,0.4
Alan Anderson,0.3,0.2,0.2
James Anderson,-0.3,-0.6,0.4
Justin Anderson,1.1,0.3,0.8
Kyle Anderson,3.5,0.7,2.8
Ryan Anderson,3.9,3.1,0.8
Giannis Antetokounmpo,7.1,4.2,2.9
Thanasis Antetokounmpo,0.0,0.0,0.0
Carmelo Anthony,6.4,3.9,2.5
Joel Anthony,0.4,0.2,0.2
Keith Appling,-0.1,-0.1,0.0
Trevor Ariza,5.4,3.1,2.3
Darrell Arthur,2.3,1.0,1.3
Omer Asik,1.7,0.7,1.0
D.J. Augustin,1.9,1.6,0.3
Jeff Ayres,0.2,0.1,0.1
Luke Babbitt,1.1,0.8,0.3
Cameron Bairstow,0.0,-0.1,0.1
Leandro Barbosa,2.1,0.9,1.2
J.J. Barea,2.8,2.1,0.7
Andrea Bargnani,0.2,0.1,0.0
Harrison Barnes,4.9,3.1,1.9
Matt Barnes,2.6,0.4,2.2
Will Barton,4.3,2.4,1.9
Brandon Bass,4.1,3.4,0.7
Nicolas Batum,5.0,2.0,2.9
Jerryd Bayless,2.4,1.8,0.6
Aron Baynes,4.1,2.4,1.7
Kent Bazemore,4.1,0.3,3.8
Bradley Beal,2.7,1.4,1.3
Michael Beasley,1.0,0.6,0.3
Marco Belinelli,0.5,0.2,0.3
Anthony Bennett,0.1,0.0,0.1
Patrick Beverley,4.4,3.1,1.3
Bismack Biyombo,5.9,2.8,3.1
Nemanja Bjelica,1.9,1.4,0.6
Tarik Black,0.7,0.3,0.4
DeJuan Blair,-0.1,-0.3,0.3
Steve Blake,1.1,0.3,0.8
Eric Bledsoe,2.5,1.6,1.0
Bojan Bogdanovic,0.9,0.9,0.0
Andrew Bogut,5.4,2.6,2.9
Matt Bonner,0.8,0.4,0.3
Devin Booker,1.9,1.2,0.7
Trevor Booker,4.3,1.8,2.6
Chris Bosh,6.4,4.1,2.3
Avery Bradley,4.8,2.0,2.8
Elton Brand,0.2,-0.1,0.3
Corey Brewer,1.2,0.1,1.2
Aaron Brooks,0.9,0.2,0.7
Anthony Brown,-0.3,-0.4,0.1
Lorenzo Brown,-0.2,-0.3,0.1
Markel Brown,0.6,0.2,0.4
Kobe Bryant,-0.4,-0.9,0.5
Chase Budinger,1.3,0.3,1.0
Reggie Bullock,1.2,0.8,0.4
Trey Burke,2.1,0.9,1.2
Alec Burks,1.5,0.7,0.8
Caron Butler,0.3,0.1,0.1
Jimmy Butler,9.1,6.5,2.7
Rasual Butler,1.3,0.4,0.9
Bruno Caboclo,-0.3,-0.3,0.0
Jose Calderon,4.0,2.7,1.4
Kentavious Caldwell-Pope,5.3,2.6,2.7
Isaiah Canaan,1.4,0.9,0.5
Clint Capela,4.4,2.4,2.0
DeMarre Carroll,1.2,0.2,1.0
Vince Carter,1.8,1.0,0.8
Michael Carter-Williams,1.2,-0.4,1.6
Omri Casspi,3.6,2.1,1.5
Willie Cauley-Stein,3.8,2.4,1.4
Mario Chalmers,3.7,2.4,1.3
Tyson Chandler,3.8,2.1,1.6
Rakeem Christmas,0.0,0.0,0.0
Ian Clark,0.9,0.3,0.6
Coty Clarke,0.0,0.0,0.0
Jordan Clarkson,2.1,1.7,0.4
Norris Cole,-0.1,-0.6,0.5
Darren Collison,5.2,4.5,0.7
Nick Collison,0.8,0.1,0.7
Mike Conley,5.3,4.2,1.1
Pat Connaughton,-0.2,-0.3,0.1
Chris Copeland,-0.1,-0.1,0.0
Bryce Cotton,0.0,0.0,0.0
DeMarcus Cousins,5.7,2.4,3.3
Robert Covington,2.0,-0.1,2.1
Allen Crabbe,4.3,3.1,1.2
Jamal Crawford,3.3,1.8,1.5
Jae Crowder,7.3,3.8,3.5
Dante Cunningham,2.1,1.5,0.7
Jared Cunningham,0.1,-0.2,0.4
Seth Curry,1.4,1.2,0.2
Stephen Curry,17.9,13.8,4.1
Troy Daniels,1.1,0.6,0.4
Anthony Davis,7.2,4.4,2.8
