Alex Abrines,2.2,1.3,1.0
Quincy Acy,1.0,-0.1,1.1
Steven Adams,9.7,6.7,3.0
Bam Adebayo,4.2,2.3,1.9
Arron Afflalo,0.1,-0.1,0.2
Cole Aldrich,0.0,-0.1,0.1
LaMarcus Aldridge,10.9,7.4,3.5
Jarrett Allen,4.2,2.7,1.5
Kadeem Allen,-0.1,-0.2,0.1
Tony Allen,0.1,-0.2,0.2
Al-Farouq Aminu,4.2,0.9,3.2
Justin Anderson,1.2,0.6,0.7
Kyle Anderson,6.2,2.4,3.8
Ryan Anderson,4.8,3.1,1.7
Ike Anigbogu,0.1,0.1,0.0
Giannis Antetokounmpo,11.9,8.3,3.6
Carmelo Anthony,3.7,1.2,2.5
OG Anunoby,3.0,1.4,1.6
Ryan Arcidiacono,0.3,0.1,0.2
Trevor Ariza,5.3,2.6,2.8
Darrell Arthur,0.0,-0.2,0.1
Jamel Artis,0.0,-0.1,0.1
Omer Asik,0.0,-0.1,0.1
D.J. Augustin,4.1,3.3,0.8
Luke Babbitt,1.1,0.9,0.3
Dwayne Bacon,-0.1,-0.7,0.6
Ron Baker,0.5,0.1,0.4
Wade Baldwin IV,0.3,0.2,0.1
Lonzo Ball,2.0,-0.5,2.5
J.J. Barea,3.3,2.3,1.0
Harrison Barnes,3.8,2.0,1.9
Will Barton,6.2,4.4,1.8
Nicolas Batum,3.5,1.7,1.8
Jerryd Bayless,1.1,0.2,0.9
Aron Baynes,3.0,0.5,2.5
Kent Bazemore,2.2,0.2,2.0
Bradley Beal,6.9,4.4,2.5
Malik Beasley,0.3,0.1,0.3
Michael Beasley,2.4,0.9,1.5
Marco Belinelli,1.9,1.3,0.6
Jordan Bell,2.9,1.6,1.4
DeAndre' Bembry,-0.4,-0.9,0.5
Dragan Bender,0.1,-0.7,0.8
Davis Bertans,3.1,1.6,1.4
Patrick Beverley,0.4,0.1,0.3
Khem Birch,1.8,1.2,0.6
Jabari Bird,0.2,0.1,0.2
Bismack Biyombo,2.9,1.1,1.8
Nemanja Bjelica,2.8,1.7,1.1
Tarik Black,1.5,0.5,1.0
Antonio Blakeney,0.0,-0.2,0.1
Eric Bledsoe,5.7,3.2,2.4
Vander Blue,-0.1,-0.1,0.0
Bogdan Bogdanovic,2.9,1.8,1.1
Bojan Bogdanovic,5.4,3.8,1.6
Andrew Bogut,0.4,0.1,0.3
Joel Bolomboy,0.1,0.0,0.0
Devin Booker,2.4,1.9,0.6
Trevor Booker,1.7,1.0,0.7
Chris Boucher,0.0,0.0,0.0
Avery Bradley,0.0,-0.1,0.1
Tony Bradley,0.0,0.0,0.0
Corey Brewer,1.6,0.9,0.7
Malcolm Brogdon,2.7,2.0,0.7
Aaron Brooks,0.1,0.1,0.1
Dillon Brooks,1.2,0.1,1.1
MarShon Brooks,0.7,0.6,0.2
Anthony Brown,0.0,0.0,0.0
Bobby Brown,-0.2,-0.3,0.1
Jaylen Brown,4.5,1.2,3.2
Lorenzo Brown,0.2,0.0,0.1
Markel Brown,0.0,-0.1,0.0
Sterling Brown,0.7,0.0,0.7
Nicolas Brussino,0.0,0.0,0.0
Thomas Bryant,0.1,0.0,0.1
Reggie Bullock,4.2,2.8,1.4
Trey Burke,2.4,2.0,0.3
Alec Burks,1.9,0.2,1.6
Jimmy Butler,8.9,7.1,1.8
Dwight Buycks,0.2,-0.2,0.4
Bruno Caboclo,0.0,0.0,0.0
Bruno Caboclo,0.0,-0.1,0.1
