Alex Abrines,2.1,1.2,0.9
Quincy Acy,1.1,0.6,0.5
Steven Adams,6.5,3.3,3.1
Arron Afflalo,1.4,1.2,0.2
Alexis Ajinca,1.0,0.0,0.9
Cole Aldrich,1.3,0.6,0.7
LaMarcus Aldridge,7.2,3.5,3.7
Lavoy Allen,1.7,0.9,0.8
Tony Allen,3.1,0.2,2.9
Al-Farouq Aminu,1.9,-0.1,2.0
Chris Andersen,0.2,0.1,0.2
Alan Anderson,0.1,0.0,0.1
Justin Anderson,1.0,0.1,0.9
Kyle Anderson,2.7,0.7,2.0
Ryan Anderson,5.2,4.0,1.1
Giannis Antetokounmpo,12.4,7.9,4.5
Carmelo Anthony,4.7,3.2,1.5
Joel Anthony,0.4,0.1,0.2
Trevor Ariza,6.0,2.8,3.2
Darrell Arthur,1.1,0.6,0.4
Omer Asik,1.0,0.4,0.6
D.J. Augustin,1.2,0.7,0.5
Luke Babbitt,1.8,0.8,1.0
Ron Baker,-0.1,-0.6,0.5
Wade Baldwin,-0.3,-0.8,0.5
Leandro Barbosa,0.6,0.3,0.4
J.J. Barea,1.3,0.8,0.5
Harrison Barnes,4.6,2.5,2.1
Matt Barnes,1.0,-0.1,1.0
Matt Barnes,1.0,0.3,0.6
Will Barton,3.3,2.5,0.8
Brandon Bass,2.2,1.6,0.6
Nicolas Batum,4.6,1.7,2.8
Jerryd Bayless,-0.1,-0.1,0.0
Aron Baynes,3.0,1.4,1.5
Kent Bazemore,2.1,-0.6,2.8
Bradley Beal,8.5,6.9,1.6
Malik Beasley,0.2,0.1,0.1
Michael Beasley,1.8,0.8,1.0
Marco Belinelli,3.2,2.0,1.2
DeAndre' Bembry,0.3,-0.1,0.4
Dragan Bender,-0.3,-0.7,0.3
Anthony Bennett,0.5,0.3,0.2
Ben Bentil,-0.1,-0.1,0.0
Davis Bertans,2.3,1.1,1.2
Patrick Beverley,5.3,2.9,2.4
Bismack Biyombo,2.9,0.8,2.1
Nemanja Bjelica,1.5,0.6,0.9
Tarik Black,2.4,1.5,0.8
Eric Bledsoe,5.3,4.0,1.4
Bojan Bogdanovic,1.6,1.0,0.6
Andrew Bogut,0.7,-0.3,1.0
Joel Bolomboy,0.2,0.1,0.1
Devin Booker,2.0,1.3,0.6
Trevor Booker,3.1,1.0,2.2
Avery Bradley,3.1,1.1,2.0
Corey Brewer,0.9,0.0,0.8
Malcolm Brogdon,4.1,2.6,1.5
Aaron Brooks,0.3,-0.2,0.5
Anthony Brown,0.0,-0.2,0.2
Anthony Brown,0.0,0.0,0.0
Bobby Brown,0.1,0.1,0.0
Jaylen Brown,1.5,0.2,1.3
Nicolas Brussino,0.6,0.0,0.6
Reggie Bullock,1.0,0.4,0.5
Trey Burke,0.5,0.3,0.3
Alec Burks,0.8,-0.1,0.9
Jimmy Butler,13.8,10.1,3.8
Bruno Caboclo,0.1,0.0,0.1
Jose Calderon,0.3,0.1,0.2
Kentavious Caldwell-Pope,4.5,2.0,2.5
Isaiah Canaan,0.5,0.0,0.6
Clint Capela,5.9,3.8,2.1
DeMarre Carroll,3.8,1.7,2.1
Vince Carter,4.0,1.9,2.1
Michael Carter-Williams,0.2,-1.0,1.3
Omri Casspi,0.4,0.1,0.3
Willie Cauley-Stein,2.9,1.4,1.5
Tyson Chandler,4.1,2.7,1.3
Wilson Chandler,3.5,2.4,1.1
Marquese Chriss,1.8,0.3,1.5
Rakeem Christmas,0.5,0.3,0.2
Semaj Christon,0.1,-0.7,0.8
Ian Clark,2.3,1.0,1.3
Jordan Clarkson,1.2,0.5,0.7
Norris Cole,-0.1,-0.2,0.2
Darren Collison,3.9,3.1,0.8
Nick Collison,0.4,0.3,0.1
Mike Conley,10.0,7.5,2.5
Pat Connaughton,0.6,0.4,0.2
Quinn Cook,0.3,0.2,0.1
DeMarcus Cousins,6.0,3.4,2.6
Robert Covington,3.1,0.0,3.2
Allen Crabbe,4.2,3.1,1.0
Jamal Crawford,1.9,0.5,1.4
Jordan Crawford,0.9,0.6,0.3
Jae Crowder,6.7,4.1,2.5
Dante Cunningham,3.0,1.4,1.6
Seth Curry,4.6,2.9,1.7
Stephen Curry,12.6,8.7,3.9
Troy Daniels,1.3,0.5,0.8
Anthony Davis,11.0,5.9,5.1
Deyonta Davis,0.5,0.1,0.4
Ed Davis,1.7,1.0,0.7
Dewayne Dedmon,5.2,2.3,3.0
Sam Dekker,3.1,1.9,1.2
Malcolm Delaney,0.1,-1.2,1.3
Matthew Dellavedova,1.2,0.3,0.9
Luol Deng,0.9,0.1,0.8
DeMar DeRozan,9.0,6.7,2.4
Cheick Diallo,0.5,0.2,0.3
Boris Diaw,1.1,-0.1,1.2
Gorgui Dieng,5.7,3.2,2.5
Spencer Dinwiddie,2.8,1.9,0.9
Toney Douglas,0.5,0.0,0.5
Goran Dragic,7.5,5.0,2.6
Andre Drummond,6.7,1.4,5.3
Jared Dudley,1.8,1.1,0.7
Mike Dunleavy,1.2,0.7,0.5
Kris Dunn,0.1,-1.2,1.3
Kevin Durant,12.0,8.0,4.0
Jarell Eddie,0.1,0.1,0.0
Henry Ellenson,-0.2,-0.4,0.2
Wayne Ellington,3.3,2.1,1.2
Monta Ellis,1.1,-0.7,1.7
Joel Embiid,1.9,0.5,1.5
James Ennis,3.1,1.4,1.7
Tyler Ennis,0.6,0.5,0.1
Tyreke Evans,0.5,-0.1,0.7
Dante Exum,1.2,-0.1,1.3
Kenneth Faried,4.5,3.3,1.2
Jordan Farmar,0.0,0.0,0.0
Derrick Favors,2.7,0.5,2.2
Kay Felder,0.1,-0.3,0.4
Cristiano Felicio,3.4,2.1,1.3
Raymond Felton,1.9,0.2,1.8
Yogi Ferrell,2.0,1.0,0.9
Dorian Finney-Smith,1.4,-0.1,1.5
Bryn Forbes,0.1,-0.2,0.2
Evan Fournier,2.8,1.7,1.1
Randy Foye,0.2,-0.6,0.7
Tim Frazier,2.4,1.0,1.4
Channing Frye,3.7,2.3,1.4
Danilo Gallinari,6.8,6.2,0.7
Langston Galloway,1.2,0.2,1.0
Patricio Garino,-0.2,-0.2,0.0
Marc Gasol,7.7,4.2,3.5
Pau Gasol,6.4,3.3,3.1
Rudy Gay,1.8,0.8,1.0
Michael Gbinije,-0.1,-0.1,0.0
Alonzo Gee,-0.1,-0.1,0.1
Paul George,7.1,3.9,3.1
Marcus Georges-Hunt,0.1,0.1,0.0
Jonathan Gibson,-0.1,-0.3,0.2
Taj Gibson,3.3,1.4,1.9
Manu Ginobili,3.0,0.6,2.4
Rudy Gobert,14.3,8.3,6.0
Archie Goodwin,0.5,0.4,0.1
Aaron Gordon,3.7,2.0,1.7
Eric Gordon,3.8,2.5,1.4
Marcin Gortat,6.8,3.9,2.9
Treveon Graham,0.4,0.3,0.2
Jerami Grant,3.0,1.3,1.7
Jerian Grant,2.5,1.4,1.2
Danny Green,3.4,0.4,3.0
Draymond Green,8.2,2.8,5.4
Gerald Green,0.6,0.1,0.4
JaMychal Green,5.8,3.2,2.6
Jeff Green,0.7,-0.2,0.9
Blake Griffin,7.7,5.4,2.4
Justin Hamilton,2.1,1.0,1.0
A.J. Hammons,0.0,-0.2,0.2
Tim Hardaway,4.8,2.7,2.1
James Harden,15.0,11.5,3.6
Maurice Harkless,4.2,2.3,1.9
Justin Harper,-0.1,-0.1,0.0
Montrezl Harrell,4.1,3.1,1.0
Devin Harris,2.2,1.1,1.1
Gary Harris,4.6,3.9,0.7
Joe Harris,0.8,0.1,0.6
Manny Harris,-0.2,-0.2,0.0
Tobias Harris,6.8,4.0,2.8
Aaron Harrison,-0.1,-0.1,0.0
